                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.36691,                0.29201,                 0.9104,                 0.9414,                0.93947,                0.96413,                0.91319,                0.32992,                0.30331,                0.97177,              0.0004456,              0.0004456,              0.0004456
                     58,                0.36231,                0.28544,                 0.9062,                 0.9291,                0.94177,                0.95729,                0.90597,                0.33407,                0.32867,                0.97846,              0.0004357,              0.0004357,              0.0004357
                     59,                0.35621,                0.27895,                 0.9038,                0.92119,                0.94829,                0.95839,                0.90834,                 0.3257,                0.31895,                0.96767,              0.0004258,              0.0004258,              0.0004258
                     60,                0.35565,                0.27757,                0.90203,                0.93674,                0.94008,                0.96129,                0.91376,                0.32243,                 0.3042,                0.96242,              0.0004159,              0.0004159,              0.0004159
                     61,                0.35554,                0.27476,                 0.9038,                0.93186,                 0.9436,                0.96029,                0.91171,                0.32141,                0.30445,                0.96584,               0.000406,               0.000406,               0.000406
                     62,                0.35318,                0.27586,                0.90078,                0.93761,                0.93726,                0.96215,                0.91566,                0.32519,                0.30391,                0.96823,              0.0003961,              0.0003961,              0.0003961
                     63,                0.35026,                0.27262,                0.90064,                0.91528,                0.95097,                0.95944,                0.91522,                0.31626,                0.31031,                0.95965,              0.0003862,              0.0003862,              0.0003862
                     64,                0.34637,                0.26703,                0.89768,                0.92965,                 0.9443,                0.96098,                0.91631,                0.31696,                0.31112,                0.95586,              0.0003763,              0.0003763,              0.0003763
                     65,                0.34821,                0.26728,                0.89815,                0.93459,                0.93474,                0.95979,                0.91584,                0.31488,                0.31174,                0.95337,              0.0003664,              0.0003664,              0.0003664
                     66,                0.34629,                0.26764,                0.89781,                0.93466,                0.94588,                0.96233,                0.91742,                0.31866,                0.31244,                0.96878,              0.0003565,              0.0003565,              0.0003565
                     67,                0.34363,                0.26189,                0.89573,                 0.9343,                0.93762,                0.96196,                0.91888,                0.31031,                0.30405,                0.96145,              0.0003466,              0.0003466,              0.0003466
                     68,                0.34167,                 0.2602,                0.89693,                0.93767,                0.94081,                0.96275,                 0.9178,                0.31156,                 0.3001,                0.96821,              0.0003367,              0.0003367,              0.0003367
                     69,                0.34116,                0.26122,                0.89262,                0.92135,                0.95587,                0.96116,                0.91809,                0.30291,                0.29649,                0.94806,              0.0003268,              0.0003268,              0.0003268
                     70,                0.33628,                0.25655,                0.89221,                0.93676,                0.94284,                0.96119,                0.91845,                 0.3098,                0.30238,                0.96223,              0.0003169,              0.0003169,              0.0003169
                     71,                0.33311,                0.25449,                0.88972,                0.92978,                0.94606,                0.95801,                0.91537,                0.30714,                0.30969,                0.95754,               0.000307,               0.000307,               0.000307
                     72,                0.33736,                0.25269,                0.89063,                0.93935,                0.94074,                0.96028,                0.91637,                0.30648,                 0.2982,                0.95201,              0.0002971,              0.0002971,              0.0002971
                     73,                0.33239,                0.24776,                0.88693,                0.92405,                0.95097,                0.95992,                0.91801,                0.30899,                0.29876,                0.95982,              0.0002872,              0.0002872,              0.0002872
                     74,                0.32814,                0.24576,                0.88675,                0.94027,                0.94914,                0.96085,                0.91932,                0.29817,                0.29078,                0.95359,              0.0002773,              0.0002773,              0.0002773
                     75,                0.32607,                0.24437,                0.88496,                0.94388,                0.93803,                0.96185,                0.92003,                0.29946,                0.29814,                0.94402,              0.0002674,              0.0002674,              0.0002674
                     76,                0.32518,                0.24183,                0.88346,                0.93995,                0.94515,                0.96097,                0.92204,                0.29331,                0.29197,                 0.9509,              0.0002575,              0.0002575,              0.0002575
                     77,                0.32881,                0.24769,                0.88882,                0.94746,                0.93969,                0.96022,                0.91803,                0.29888,                 0.2946,                0.96032,              0.0002476,              0.0002476,              0.0002476
                     78,                 0.3238,                0.24293,                0.88405,                0.93154,                0.94715,                0.95922,                0.91658,                0.30491,                0.30093,                0.95843,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.3201,                0.23932,                0.87958,                0.92662,                0.95316,                0.95789,                0.91605,                0.29754,                0.29964,                0.95441,              0.0002278,              0.0002278,              0.0002278
                     80,                0.31991,                 0.2382,                0.88331,                0.92763,                 0.9534,                0.96233,                0.92335,                0.29606,                0.29387,                0.95806,              0.0002179,              0.0002179,              0.0002179
                     81,                0.31795,                0.23265,                0.88174,                0.93876,                0.93496,                0.96176,                0.92141,                0.29802,                0.30121,                0.96436,               0.000208,               0.000208,               0.000208
                     82,                0.31667,                0.23492,                 0.8818,                 0.9399,                0.93815,                0.95859,                 0.9194,                0.29457,                0.30249,                0.95366,              0.0001981,              0.0001981,              0.0001981
                     83,                0.31274,                0.23306,                0.87986,                 0.9365,                 0.9394,                0.95922,                0.91777,                0.29811,                0.30127,                0.94557,              0.0001882,              0.0001882,              0.0001882
                     84,                0.31122,                0.23138,                0.87895,                0.94294,                0.93622,                0.96176,                0.92348,                0.28903,                 0.2904,                0.95109,              0.0001783,              0.0001783,              0.0001783
