                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.39101,                0.31749,                0.89443,                0.90998,                0.94062,                0.95756,                0.89992,                0.35766,                0.35054,                0.85707,               0.000406,               0.000406,               0.000406
                     62,                0.38837,                 0.3129,                0.89263,                  0.935,                0.94137,                0.96261,                0.90381,                0.34817,                0.31741,                0.85302,              0.0003961,              0.0003961,              0.0003961
                     63,                0.38684,                0.31285,                0.89022,                0.93211,                0.94598,                0.96625,                0.91012,                0.34477,                0.30941,                0.84708,              0.0003862,              0.0003862,              0.0003862
                     64,                0.38377,                0.30745,                0.89159,                0.93623,                0.94134,                0.96627,                0.91332,                0.34269,                0.30547,                0.85442,              0.0003763,              0.0003763,              0.0003763
                     65,                0.38017,                0.30546,                0.89208,                 0.9286,                0.94876,                0.96214,                0.90784,                 0.3437,                0.32232,                0.86415,              0.0003664,              0.0003664,              0.0003664
                     66,                0.37759,                0.29835,                0.88947,                0.92366,                0.95119,                0.96387,                0.91047,                0.34514,                0.32073,                0.85775,              0.0003565,              0.0003565,              0.0003565
                     67,                0.38103,                0.30549,                0.89199,                0.92751,                0.94952,                0.96464,                0.90913,                 0.3478,                 0.3124,                0.86253,              0.0003466,              0.0003466,              0.0003466
                     68,                0.37883,                0.30199,                0.89146,                0.93349,                0.94756,                0.96369,                0.90858,                0.34563,                0.31965,                0.85102,              0.0003367,              0.0003367,              0.0003367
                     69,                0.37436,                0.29945,                0.88579,                0.93078,                0.94902,                0.96504,                0.91158,                0.34156,                0.31462,                0.85165,              0.0003268,              0.0003268,              0.0003268
                     70,                0.37131,                0.29402,                0.88695,                0.94583,                0.94023,                0.96629,                0.91418,                0.33483,                 0.3021,                0.85553,              0.0003169,              0.0003169,              0.0003169
                     71,                0.36908,                0.28966,                0.88503,                0.93926,                0.94206,                0.95913,                0.90427,                0.34686,                0.31944,                0.85719,               0.000307,               0.000307,               0.000307
                     72,                0.36931,                0.29086,                0.88215,                  0.936,                0.94679,                0.96643,                0.91399,                0.33462,                0.29908,                0.84914,              0.0002971,              0.0002971,              0.0002971
                     73,                0.36439,                0.28671,                0.88077,                0.93134,                0.93509,                0.95899,                0.90693,                0.33275,                0.32319,                0.85477,              0.0002872,              0.0002872,              0.0002872
                     74,                0.36408,                0.28972,                0.88255,                0.92662,                0.94798,                0.96364,                0.91474,                0.33354,                0.31212,                 0.8559,              0.0002773,              0.0002773,              0.0002773
                     75,                0.36398,                0.28465,                0.88095,                0.93369,                0.94449,                0.95999,                0.91086,                 0.3342,                 0.3115,                0.85277,              0.0002674,              0.0002674,              0.0002674
                     76,                0.35945,                0.28228,                0.87975,                0.92942,                 0.9434,                0.96315,                0.91189,                0.33282,                 0.3114,                0.85474,              0.0002575,              0.0002575,              0.0002575
                     77,                0.35999,                0.28276,                0.88089,                 0.9441,                0.94018,                0.96428,                  0.916,                0.33222,                0.31006,                0.85799,              0.0002476,              0.0002476,              0.0002476
                     78,                0.35536,                0.27902,                0.87865,                0.94825,                0.93076,                0.96347,                0.91558,                0.32418,                0.29768,                0.84963,              0.0002377,              0.0002377,              0.0002377
                     79,                0.35589,                0.27513,                0.87859,                 0.9403,                0.94199,                0.96414,                0.91403,                0.32456,                0.30123,                0.85119,              0.0002278,              0.0002278,              0.0002278
                     80,                0.35099,                 0.2712,                 0.8753,                0.93207,                0.94867,                0.96156,                0.91197,                 0.3273,                 0.3046,                0.84338,              0.0002179,              0.0002179,              0.0002179
                     81,                0.35043,                0.27047,                0.87585,                0.93841,                0.94243,                0.96225,                0.91426,                0.32694,                0.30362,                0.84881,               0.000208,               0.000208,               0.000208
                     82,                0.34627,                0.26701,                0.87531,                0.93586,                0.94347,                0.96354,                0.91687,                0.32141,                0.30213,                0.84724,              0.0001981,              0.0001981,              0.0001981
                     83,                0.34509,                0.26578,                0.87059,                0.93755,                0.94513,                0.95892,                 0.9115,                0.32666,                0.30931,                0.85415,              0.0001882,              0.0001882,              0.0001882
                     84,                0.34528,                0.26445,                0.87502,                0.92973,                0.94968,                0.95832,                 0.9108,                0.32351,                 0.3108,                0.84926,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.3409,                0.26026,                 0.8716,                0.94572,                0.94223,                0.96277,                0.91727,                0.31841,                0.30403,                0.84114,              0.0001684,              0.0001684,              0.0001684
                     86,                0.34022,                0.26191,                0.87175,                 0.9338,                0.94457,                0.96236,                0.91562,                0.32053,                0.30171,                0.84524,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.3398,                 0.2595,                0.87034,                0.94449,                0.93628,                0.95851,                0.91294,                0.31481,                0.30186,                0.84944,              0.0001486,              0.0001486,              0.0001486
                     88,                0.33736,                0.25797,                0.87258,                0.93966,                0.93642,                0.95894,                 0.9127,                0.31983,                0.31597,                0.85235,              0.0001387,              0.0001387,              0.0001387
                     89,                0.33342,                0.25441,                0.86902,                0.93544,                0.94707,                0.96014,                0.91632,                0.31245,                0.30588,                0.85067,              0.0001288,              0.0001288,              0.0001288
                     90,                0.33649,                 0.2539,                0.87125,                0.94463,                 0.9406,                0.96089,                0.91679,                0.31735,                0.30666,                0.85058,              0.0001189,              0.0001189,              0.0001189
                     91,                0.28438,                 0.2057,                0.84501,                0.93853,                 0.9449,                0.96134,                0.91528,                0.32262,                0.31212,                0.86115,               0.000109,               0.000109,               0.000109
                     92,                0.27238,                0.19502,                0.83895,                0.94547,                0.94058,                0.96178,                  0.918,                0.32371,                0.30651,                0.86457,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.26846,                0.19258,                0.83701,                0.94157,                 0.9414,                 0.9607,                0.91817,                0.31619,                0.30736,                0.85708,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.26657,                0.18947,                0.83661,                0.94035,                0.94323,                0.96167,                0.92043,                0.31069,                  0.301,                0.85508,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.26555,                0.18625,                0.83425,                0.94339,                0.94114,                0.95927,                0.91817,                0.31429,                0.30628,                0.85569,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.26081,                0.18351,                0.83246,                0.94204,                0.94482,                0.95971,                0.91837,                0.31389,                 0.3072,                0.85652,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.26014,                0.18233,                0.83041,                0.94265,                0.94427,                0.96039,                0.92032,                0.31203,                0.30122,                0.85026,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.25846,                0.18061,                0.83108,                0.93672,                0.94623,                0.95891,                0.91916,                0.30901,                0.30707,                0.85054,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.25338,                0.17581,                0.82995,                0.94215,                0.94288,                0.95931,                0.91992,                0.30639,                0.30718,                0.85088,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.25546,                 0.1765,                0.83113,                0.94146,                0.94558,                0.96065,                0.92039,                0.31021,                0.30086,                0.85377,               1.99e-05,               1.99e-05,               1.99e-05
